title,creator,contributor,subject_local,subject_lcsh,description,normalized_date,dimension,genre,format,source_id,identifier,source_collection,copyright_status,rights_holder,filename
Labor History - 1: The First Strike,Fred Wright,James Lerner,"Strikes, Average Work Day",Strikes and lockouts--United States.; Work environment--United States.; Labor unions--United States--History--18th century.; Hours of labor--United States.,"This cartoon depicts the first strike in 1786 by the Philadelphia printers in response to low wages and long hours. Caption 1:  Relief from British oppression as a result of the American revolution did not bring relief from terribly long hours and equally short pay to American working men. Typical was the condition of New York workers who were paid 25 cents to 50 cents a day in 1789 for days running from ""sunup to sundown."" Since they paid by the day, employers preferred to have their men work in the seasons when the days were longest and to lay them off at other times. ""Many of our small tradesmen, cartmen, day laborers and others dwell upon the borders of poverty,"" commented the Daily Advertiser at the time.  Caption 2:  There were strikes before there were unions as conditions became unbearable. Among the first to engage in strikes were the New York printers, who in 1778, demanded ""an addition of three dollars per week to our present small pittance."" They won this without having to strike. But in 1786 their Philadelphia brothers made history with the first recorded strike for ""a dollar a day"" or six dollars a week. ""We will support such of our brethren,"" they resolved, ""as shall be thrown out of employment on account of their refusing to work for less than $6 a week."" The ""turnout,"" as it was called, was successful.  Caption 3:  Philadelphia house carpenters lost a strike for a 10-hour day. Baltimore sailors and New York carpenters were among those who struck in the next few years. None of these resulted in permanent organization. Workers disbanded the organizations as soon as the battle for the immediate demand was over. In some cases workers tried to use their mutual aid societies as substitutes for unions as we know them. But when state legislatures passed laws forbidding this practice, unions were formed. Philadelphia shoemakers set up the first local craft union in 1792. It lasted one year. UE News, Vol. XXXII, Issue No. 8",1970-04-20,,Publication plate,Comic strips,ue13.3.1.001,ue13.3.1.001,ue13.3.1,copyrighted,,20080924-fredwright-0001.tif
Labor History - 2: The First Closed Shop,Fred Wright,James Lerner,Union Organization,Labor unions--United States--History--18th century.; Open and closed shop--United States.,"This cartoon depicts early agreements of secrecy among union members and the development of the first closed shop in 1805. Caption 1:  Earliest union members took an oath to keep proceedings of their meetings secret, not to work under the union wage scale and to help other members get jobs. Some fined members for not attending meetings. First absence cost 10 to 12 cents, next 20 to 25 cents, and third 50 cents. Members could be tossed out for getting drunk too often, or for immorality. Such rules governed the N'.Y'. Typographical Society and the N. Y. Cordwainers (shoemakers).  Caption 2:  Agreement to stand by the union wage scale was followed in 1802 by unions selecting committees to present wage scales to employers. Any boss who refused to agree might find himself picketed by a ""tramping committee."" In 1799 Philadelphia shoemakers won a trade-wide agreement. To stop runaways to non-union areas, the New York printers tried to get a union wage scale for the entire east in 1815, but the employers refused.  Caption 3:  First closed shop came out of Cordwainers' agreement in 1805 that no member would work for an employer who hired anyone ""that does not belong to this society, unless the journeyman come and join the same."" Violation brought one dollar fine and if not corrected, expulsion. ""If I didn't join,"" one complained, ""no man would sit upon the seat where I worked, nor board nor lodge in the same house, nor would they work at all for the same employer. UE News, Vol. XXXII, Issue No. 9",1970-05-04,,Publication plate,Comic strips,ue13.3.1.002,ue13.3.1.002,ue13.3.1,copyrighted,,20080924-fredwright-0002.tif
Labor History - 3:  Scabs of Old,Fred Wright,James Lerner,Scabs,Strikebreakers--United States.; Labor unions--United States--History--18th century.,"This cartoon depicts the use of scabs dating back to the early 1800s, highlighting the contempt that existed between union workers and scabs. Caption 1:  One of the oldest and the most dishonorable title in American labor history is ""scab."" Striking New York seamen marched to the waterfront behind drum and fife in 1800 to battle with scabs. ""A scab is a shelter for lice"" shouted a cordwainer (shoemaker) in a New York courtroom a few years later and was fined $5 for contempt of court.  Caption 2:  Taking the place of a union printer who had been fired for refusing to work beneath the union scale would result in expulsion from the N.Y. Typographical Union in the early 1800's. This was considered scabbing and lists of scabs were exchanged by the unions in different cities even though they were not yet affiliated to any national organization.  Caption 3:  When Philadelphia currier (leather tanner) bosses advertised for scabs in other cities in 1803, the union ran a newspaper ad urging ""that their brethren of the trade will take no notice of any advertisements of the employers...more especially as the master curriers have entered into resolutions to lower the prices that have been current for 20 years past."" UE News, Vol. XVIII, Issue No. 15",1956-07-23,,Publication plate,Comic strips,ue13.3.1.003,ue13.3.1.003,ue13.3.1,copyrighted,,20080924-fredwright-0003.tif
Labor History - 4: Conspiracy to Raise Wages,Fred Wright,James Lerner,"Union Organization, Businesses",Shoemakers--Labor unions--Pennsylvania--Philadelphia.; Labor unions--Pennsylvania--Philadelphia--History.; Wages--Shoemakers--Pennsylvania--Philadelphia.; Labor unions--United States--History--19th century.,"This cartoon depicts businesses' early attempts at outlawing unions by charging them in court with a conspiracy to raise wages. Caption 1:  With union organizations leading to higher wages (a painter's daily wage in Massachusetts was $1.15 in 1800) employers moved to outlaw them. Eight Philadelphia shoe workers were charged, in 1805, with forming ""a combination and conspiracy to raise wages"" through the Cordwainers Union. The prosecution argued that one worker could legally seek a wage increase but that it was illegal for two or more, to do so.  Caption 2:  Merchants, innkeepers, master tailors were among the jury and labor spy Job Harrison a chief witness. Among prosecution arguments were that industry would leave Philadelphia if the union continued; that the unions were made up of men ""who have been only a little time in your country"" and were already trying to change its laws. Witnesses were found to claim that union members had threatened their lives.  Caption 3:  Defense Attorney Rodney said neither the public's welfare nor patriotism was the issue, but employers' profit. Many employers attended the trial. The men were found guilty of trying to raise wages. The fine was small, eight dollars each, but the heavy costs incurred broke the organization; it had to disband. In the next years similar trials were held in Pittsburgh, New York and Baltimore. Tough times were ahead. UE News, Vol. XVII, Issue No. 16",1956-08-06,,Publication plate,Comic strips,ue13.3.1.004,ue13.3.1.004,ue13.3.1,copyrighted,,20080924-fredwright-0004.tif
Labor History - 5: Shorter Work Day Demanded,Fred Wright,James Lerner,"Union Organization, Economy",Hours of labor--United States.; Labor unions--Organizing--United States.; Labor unions--United States--History--19th century.,"This cartoon depicts the dissolution and reemergence of union activities between 1819 and 1823, resulting in the beginning of the American labor movement.  The UE News originally ran this cartoon with the title, ""The First United Movement."" Caption 1:  As unions in Philadelphia, Pittsburgh, New York were hit by conspiracy charges for trying to raise wages, organization slowed down. Weakened as they were, the unions could not withstand the depression that hit in 1819. Members could not fight for higher wages and shorter hours. A New York printer wrote: ""We lived eight days without tea, sugar, or meat--on bread and butter only with cold water.""  Caption 2:  Things got so bad organization had to begin again. New Orleans printers complained (in 1823) that they were ""not receiving regular pay from their employers."" They set up a union. A year later came the first recorded strike of women workers. These were the weavers at Pawtucket, R.I. The National Gazette wrote of their meeting: ""It was conducted . . . without noise, or scarcely a single speech.""  Caption 3:  Unions were springing up in many trades. By 1827 workers saw that they could no longer remain separated. Philadelphia labor set up the country's first city central body--the Mechanics Union of Trade Associations. This is regarded as the real beginning of the American labor movement. The big issue that united the unions was the demand for a 10-hour day. The shorter work day was to unite labor frequently in later years.   UE News, Vol. XVIII, Issue No. 18",1956-09-03,,Publication plate,Comic strips,ue13.3.1.005a,ue13.3.1.005a,ue13.3.1,copyrighted,,20080924-fredwright-0005a.tif
Labor History - 5B: Labor Enters Politics,Fred Wright,James Lerner,"Politics and Legislation, Average Work Day",Labor unions--United States--Political activity.; Hours of labor--United States.; Working class-United States--Political activity.; Labor unions--United States--History--19th century.,"This cartoon depicts the beginning of labor's foray into politics as they began naming their own candidates in response to the worsening work conditions. Caption 1:  Stressing the need for a 10-hour day, Philadelphia's Mechanics Union of Trade Associations soon made political action its major undertaking. The country's first central body of unions urged its affiliated unions in 1827 to declare how they stood on nominating candidates to ""represent the interest of the working class"" in city and state legislative elections. Within a few years the idea of workingmen's parties spread to other Pennsylvania towns, New York State, through New England into at least a dozen states.  Caption 2:  Labor's parties were naming their own candidates and sometimes electing them. One paper described the situation in this way: ""From Maine to Georgia, within a few months past we discern symptoms of a revolution, which will be second to none save that of '76."" Labor began putting out its own newspapers such as Philadelphia's Mechanics' Free Press, first of its kind.  Caption 3:  Political action was labor's answer to worsening conditions. Summer work schedules ran from 4 a.m. to sunset with an hour off for lunch at 10 and another for dinner at 3 p.m. Representation in government and free public education were major demands. Both political parties were condemned as spokesmen for the rich. Another labor demand was abolition of imprisonment for debt. UE News, Vol. XXXII, Issue No. 12",1970-06-15,,Publication plate,Comic strips,ue13.3.1.005b,ue13.3.1.005b,ue13.3.1,copyrighted,,20080924-fredwright-0005b.tif
Labor History - 6: Labor Enters Politics,Fred Wright,James Lerner,Politics and Legislation,Labor unions--United States--Political activity.; Working class--United States--Political activity.; Labor unions--United States--History--19th century.,"This cartoon depicts the varying successes and failures of workingmen's parties in New York and Massachusetts in the 1830s. Caption 1:  With conditions and wages getting worse, labor in the late 1820's put greater emphasis on political action. Workingmen formed their own local parties and gave heavy support to Andrew Jackson, the successful candidate for president in 1828. The new Whig party objected to ""throwing the polls open to every man that walks"" as it fought Jacksonian democracy. A  New York mechanics' meeting formed a party after protesting against attempts to lengthen the 10-hour day.  Caption 2:  New York's workingmen's party ran its first candidates in 1829. Of 21,000 votes cast it drew 6,000. Newspapers had blasted the new party as the ""Infidel Ticket"". Its women's leader, Frances Wright, was denounced as insane and atheistic. The election of carpenter Ebenezer Ford to the assembly was called a disgrace which would scare traders and investors from the city.  Caption 3:  Elsewhere, at Salina, N. Y., the Farmers and Mechanics' Party swept the 1839 election. The Working Men's Party of Massachusetts gained control of ten towns in 1833. Labor's parties didn't last long, however. Some workers thought they should stick to trade unions. Others saw it more important to back the Jacksonian movement. Many were frightened away by the attacks on the parties as ""radical"". UE News, Vol. XXXII, Issue No. 13",1970-06-29,,Publication plate,Comic strips,ue13.3.1.006,ue13.3.1.006,ue13.3.1,copyrighted,,20080924-fredwright-0006.tif
Labor History - 7: Women Form Unions,Fred Wright,James Lerner,Union Organization,United States--Economic conditons--19th century.; Women labor union members--United States.; Labor unions--United States--Political activity.; Labor unions--United States--History--19th century.,"As cost of living went up in the mid 1830s, women entered the workforce.  This cartoon depicts their contribution to labor and the formation of their own unions. Caption 1:  Workingmen were the strongest supporters of Andrew Jackson for his first term and then for the re-election seeing in him the fighter against the banks and their employers. Trade unions were spreading very rapidly especially as the nation experienced a runaway inflation. ""The barbers have struck,"" a horrified N.Y.Times wrote in April, 1836, ""and now all that remains for Editors is to strike, too.""  Caption 2:  In two years, 1834-1836, the cost of living jumped 66 percent. Young boys were brought in to industry to undercut workers' wages. Women were hired as printers, cigar makers as well as tailors and shoemakers. They were paid $1.25 a week and glad to get it as the high prices made it impossible for their families to get along. Even convicts were put to work competing with free labor.  Caption 3:  Many unions which had been broken up through courts, red-baiting (they had that, then, too) and blacklists revived. Baltimore women formed the United Seamstresses Society; New Yorkers, the Ladies' Shoebinders and Female Book-binders. In Philadelphia, the Female Improvement Society and the growth of the New England textile industry was accompanied by the Female Society of Lynn and Vicinity for the Protection and Promotion of Female Industry. UE News, Vol. XXXII, No. 14",1970-07-13,,Publication plate,Comic strips,ue13.3.1.007,ue13.3.1.007,ue13.3.1,copyrighted,,20080924-fredwright-0007.tif
Labor History - 8: Women's Union Strikes,Fred Wright,James Lerner,Strikes, Women labor union members--United States.; Strikes and lockouts--United States.; Labor unions--United States--History--19th century.,"This cartoon depicts several strikes by women's unions in the 1830s. Caption 1:  Unions sprang UP all over the east coast and as far as St. Louis between 1833-37. More than 150 of them were set up in New York, Philadelphia, Boston. There were 168 strikes in that time. Of special note were the activities of the ""Ladies Unions."" At Dover, N.H., 700 girls struck; at Lowell, Mass., a 15% wage cut led to 800 girls striking in 1834. They lost. Two years later wages were cut 12% and they were out again.  Caption 2:  Forming a factory girls assn., with 2,500 members, these Lowell workers marched through the streets singing: Oh, isn't it a pity that such a pretty girl as I, Should be sent to the factory to pine away and die? Oh! I cannot be a slave! I will not be a slave. For I'm so fond of liberty, That I cannot be a slave.  Caption 3:  They were thrown out of the boarding houses, starved into surrender. Ordered to tend two looms, Amesbury girls stopped work and pledged ""under a forfeit of five dollars"" not to go back to work until the speed-up was dropped. They won. While some men objected to women's union activities, others held that ""unless we have the female sex on our side, we cannot hope to accomplish any object we have in view."" UE News, Vol. XXXII, Issue No. 15",1970-07-27,,Publication plate,Comic strips,ue13.3.1.008,ue13.3.1.008,ue13.3.1,copyrighted,,20080924-fredwright-0008.tif
Labor History - 9: Children Strike,Fred Wright,James Lerner,"Average Work Day, Strikes",Child labor--United States.; Labor unions--Organizing--United States.; Hours of labor--United States.; Strikes and lockouts--United States.; Labor unions--United States--History--19th century.,"This cartoon depicts strikes held by children and their parents demanding a shorter work day, resulting in resistance from their employers. Caption 1:  The demand for a shorter work-day was sweeping the east in the 1830's following the defeat of the workers on this issue a decade earlier. Children working in the Paterson, N.J. textile mills struck on July 3, 1833 for an 11-hour day and 9 hours on Saturday. Their parents formed the ""Paterson Association for the Protection of the Working Classes of Paterson."" Financial aid came from nearby cities. The kids held out until victory.  Caption 2:  Employers responded with charges that it was ""bands of Irish and other foreigners,"" ""elements of disorder"" who were responsible for the shorter work-day demand. Newspapers warned that to be idle several hours of the morning would lead workers to drunkenness and ruin. Employers resisted the 10-hour day as much as they did the 8-hour day 50 years later.  Caption 3:  Resolving to work for a 10-hour day, Philadelphia carpenters said all men had the right ""to have sufficient time for the cultivation of their mind and self-improvement."" Boston strikers declared that a longer day exhausted the mechanic's physical and mental powers. It was a sign of labor's maturity to demand greater educational opportunities, and free schooling for their children--they tied the shorter work day to the ""cultivation of the mind."" UE News, Vol. XXXII, Issue No. 16",1970-08-10,,Publication plate,Comic strips,ue13.3.1.009,ue13.3.1.009,ue13.3.1,copyrighted,,20080924-fredwright-0009.tif
